s,personLabel,paper,roleLabel,event,listAffiliation
person:enrico-motta,Enrico Motta,iswc2012:paper/research-39,,,"KMi, The Open University"
person:eric-charton,Eric Charton,,Workshop Chair,workshop:wole/2012,CRIM
person:eric-goodman,Eric Goodman,,Workshop Chair,workshop:swws_hpcsw/2012,Sandia National Laboratories
person:erik-mannens,Erik Mannens,iswc2012:paper/poster-demo-10,,,Ghent University
person:esko-nuutila,Esko Nuutila,iswc2012:paper/poster-demo-22,,,Aalto University
person:esteban-zimanyi,Esteban Zimanyi,,PC Member at ISWC2012(Research Track),iswc2012:track/research,Université Libre de Bruxelles
person:eva-blomqvist,Eva Blomqvist,,ISWC2012 Proceedings Chair,http://data.semanticweb.org/conference/iswc/2012,Linköping University
person:eva-blomqvist,Eva Blomqvist,,PC Member at ISWC2012(Poster and Demo),iswc2012:track/poster-demo,Linköping University
person:eva-blomqvist,Eva Blomqvist,,PC Member at ISWC2012(Research Track),iswc2012:track/research,Linköping University
person:eva-blomqvist,Eva Blomqvist,,Workshop Chair,workshop:wop/2012,Linköping University
person:eva-blomqvist,Eva Blomqvist,iswc2012:proceedings,,,Linköping University
person:evan-wei-xiang,Evan Wei Xiang,iswc2012:paper/research-22,,,Hong Kong University of Science and Technology
person:evelyne-viegas,Evelyne Viegas,,Workshop Chair,workshop:psw/2012,Microsoft Research
person:evren-sirin,Evren Sirin,,ISWC2012 Semantic Web In Use Chair,http://data.semanticweb.org/conference/iswc/2012,Clark & Parsia
person:evren-sirin,Evren Sirin,,ISWC2012 Semantic Web In Use Chair,iswc2012:track/inuse,Clark & Parsia
person:evren-sirin,Evren Sirin,iswc2012:paper/industry-12,,,Clark & Parsia
person:evren-sirin,Evren Sirin,iswc2012:paper/semantic-web-challenge-open-14,,,Clark & Parsia
person:evren-sirin,Evren Sirin,iswc2012:proceedings,,,Clark & Parsia
person:fabien-duchateau,Fabien Duchateau,iswc2012:paper/research-37,,,"Universite Lyon 1, LIRIS"
person:fabien-gandon,Fabien Gandon,,PC Member at ISWC2012(Research Track),iswc2012:track/research,INRIA
person:fabien-gandon,Fabien Gandon,iswc2012:paper/poster-demo-23,,,INRIA
person:fabien-gandon,Fabien Gandon,iswc2012:paper/poster-demo-24,,,INRIA
person:fabio-ciravegna,Fabio Ciravegna,,PC Member at ISWC2012(Research Track),iswc2012:track/research,University of Sheffield
person:fabio-ciravegna,Fabio Ciravegna,iswc2012:paper/evaluation-18,,,University of Sheffield
person:fabrice-lacroix,Fabrice Lacroix,iswc2012:paper/industry-09,,,Antidot
person:falco-cescolini,Falco Cescolini,iswc2012:paper/inuse-09,,,"Siemens AG, Corporate Technology"
person:fausto-guinchiliglia,Fausto Guinchiliglia,,PC Member at ISWC2012(Doctoral Consortium),iswc2012:track/doctoral-consortium,University of Trento
person:federico-michele-facca,Federico Michele Facca,,PC Member at ISWC2012(Semantic Web In Use Track),iswc2012:track/inuse,Create-Net
person:federico-piccinini,Federico Piccinini,iswc2012:paper/semantic-web-challenge-open-13,,,Politecnico di Milano
person:feiyu-xu,Feiyu Xu,iswc2012:paper/research-38,,,DFKI
person:felix-sasaki,Felix Sasaki,,Workshop Chair,workshop:msw/2012,DFKI
person:feng-cao,Feng Cao,iswc2012:paper/poster-demo-27,,,IBM China Research Laboratory
person:fernando-bobillo,Fernando Bobillo,,Workshop Chair,workshop:ursw/2012,Universidad de Zaragoza
person:feroz-farazi,Feroz Farazi,iswc2012:paper/inuse-27,,,University of Trento
person:fiona-mcneill,Fiona McNeill,,Workshop Chair,workshop:lhd-semquant/2012,University of Edinburgh
person:fouad-zablith,Fouad Zablith,,PC Member at ISWC2012(Semantic Web In Use Track),iswc2012:track/inuse,"KMi, The Open University"
person:francesco-draicchio,Francesco Draicchio,iswc2012:paper/research-13,,,"STLab, ISTC-CNR"
person:francesco-osborne,Francesco Osborne,iswc2012:paper/poster-demo-39,,,University of Turin
person:francesco-osborne,Francesco Osborne,iswc2012:paper/research-39,,,University of Turin
person:francois-scharffe,Francois Scharffe,,PC Member at ISWC2012(Evaluation Track),iswc2012:track/evaluation,"LIRMM, University of Montpellier"
person:francois-scharffe,Francois Scharffe,,PC Member at ISWC2012(Research Track),iswc2012:track/research,"LIRMM, University of Montpellier"
person:francoise-baude,Francoise Baude,,Tutorial Organizer,iswc2012:tutorial-8,INRIA
person:frank-van-harmelen,Frank van Harmelen,,ISWC2012 Panellist,iswc2012:panel/big-graph-data,VU Amsterdam
person:frank-van-harmelen,Frank van Harmelen,,PC Member at ISWC2012(Doctoral Consortium),iswc2012:track/doctoral-consortium,VU Amsterdam
person:frank-van-harmelen,Frank van Harmelen,,PC Member at ISWC2012(Research Track),iswc2012:track/research,VU Amsterdam
person:frank-van-harmelen,Frank van Harmelen,,Workshop Chair,workshop:lhd-semquant/2012,VU Amsterdam
person:frank-van-harmelen,Frank van Harmelen,,Workshop Chair,workshop:sw2022/2012,VU Amsterdam
person:frantisek-simancik,Frantisek Simancik,,PC Member at ISWC2012(Poster and Demo),iswc2012:track/poster-demo,University of Oxford
person:freddy-lecue,Freddy Lecue,,ISWC2012 Session Chair,iswc2012:session/research-09,IBM Research
person:freddy-lecue,Freddy Lecue,,PC Member at ISWC2012(Research Track),iswc2012:track/research,IBM Research
person:freddy-lecue,Freddy Lecue,iswc2012:paper/inuse-58,,,IBM Research
person:freddy-lecue,Freddy Lecue,iswc2012:paper/poster-demo-47,,,IBM Research
person:freddy-lecue,Freddy Lecue,iswc2012:paper/semantic-web-challenge-open-18,,,IBM Research
person:gabriela-montoya,Gabriela Montoya,iswc2012:paper/evaluation-27,,,Universidad Simon Bolivar
person:gary-wills,Gary Wills,iswc2012:paper/semantic-web-challenge-open-15,,,University of Southampton
person:geert-jan-houben,Geert-Jan Houben,iswc2012:paper/research-30,,,Delft University of Technology
person:george-garbis,George Garbis,iswc2012:paper/poster-demo-28,,,National and Kapodistrian University of Athens
person:george-garbis,George Garbis,iswc2012:paper/semantic-web-challenge-open-17,,,National and Kapodistrian University of Athens
person:gerd-groener,Gerd Gröner,,PC Member at ISWC2012(Research Track),iswc2012:track/research,University of Koblenz and Landau
person:gerd-zechmeister,Gerd Zechmeister,iswc2012:paper/semantic-web-challenge-open-06,,,Semantic Web Company GmbH
person:gerhard-friedrich,Gerhard Friedrich,iswc2012:paper/poster-demo-45,,,UNI Klagenfurt
person:gerhard-friedrich,Gerhard Friedrich,iswc2012:paper/poster-demo-64,,,UNI Klagenfurt
person:gianluca-correndo,Gianluca Correndo,,PC Member at ISWC2012(Semantic Web In Use Track),iswc2012:track/inuse,University of Southampton
person:gianluca-correndo,Gianluca Correndo,,PC Member at ISWC2012(Poster and Demo),iswc2012:track/poster-demo,University of Southampton
person:gianluca-demartini,Gianluca Demartini,,ISWC2012 Session Chair,iswc2012:session/research-14,University of Fribourg
person:gianluca-demartini,Gianluca Demartini,,PC Member at ISWC2012(Research Track),iswc2012:track/research,University of Fribourg
person:gianluca-demartini,Gianluca Demartini,iswc2012:paper/evaluation-17,,,University of Fribourg
person:giorgos-flouris,Giorgos Flouris,,PC Member at ISWC2012(Research Track),iswc2012:track/research,FORTH-ICS
person:giorgos-stoilos,Giorgos Stoilos,,PC Member at ISWC2012(Poster and Demo),iswc2012:track/poster-demo,National Technical University of Athens
person:giovanni-grasso,Giovanni Grasso,iswc2012:paper/inuse-71,,,University of Oxford
person:giovanni-semeraro,Giovanni Semeraro,,Workshop Chair,workshop:sersy/2012,University of Bari
person:giovanni-tummarello,Giovanni Tummarello,,PC Member at ISWC2012(Evaluation Track),iswc2012:track/evaluation,"DERI, NUI Galway"
person:giovanni-tummarello,Giovanni Tummarello,,PC Member at ISWC2012(Semantic Web In Use Track),iswc2012:track/inuse,"DERI, NUI Galway"
person:giulia-masotti,Giulia Masotti,iswc2012:paper/evaluation-41,,,Sapienza Università di Roma
person:giuliana-ucelli,Giuliana Ucelli,iswc2012:paper/inuse-27,,,"Segreteria SIAT, Autonomous Province of Trento, Italy"
person:giuseppe-pirro,Giuseppe Pirró,iswc2012:paper/poster-demo-34,,,Free University of Bozen-Bolzano
person:giuseppe-pirro,Giuseppe Pirró,iswc2012:paper/semantic-web-challenge-open-01,,,Free University of Bozen-Bolzano
person:giuseppe-rizzo,Giuseppe Rizzo,,Workshop Chair,workshop:wole/2012,EURECOM
person:giuseppe-rizzo,Giuseppe Rizzo,iswc2012:paper/poster-demo-54,,,EURECOM
person:giusy-di-lorenzo,Giusy Di Lorenzo,iswc2012:paper/semantic-web-challenge-open-18,,,IBM Research
person:grigoris-antoniou,Grigoris Antoniou,,PC Member at ISWC2012(Research Track),iswc2012:track/research,FORTH-ICS
person:grigoris-antoniou,Grigoris Antoniou,iswc2012:paper/research-20,,,FORTH-ICS
person:gueret-christophe,Guéret Christophe,,Tutorial Organizer,iswc2012:tutorial-9,VU Amsterdam
person:guilin-qi,Guilin Qi,,PC Member at ISWC2012(Research Track),iswc2012:track/research,Southeast University
person:guillermo-palma,Guillermo Palma,iswc2012:paper/poster-demo-43,,,Universidad Simon Bolivar
person:guus-schreiber,Guus Schreiber,,ISWC2012 Doctoral Consortium Chair,http://data.semanticweb.org/conference/iswc/2012,VU Amsterdam
person:guus-schreiber,Guus Schreiber,,ISWC2012 Doctoral Consortium Chair,iswc2012:track/doctoral-consortium,VU Amsterdam
person:guus-schreiber,Guus Schreiber,iswc2012:proceedings,,,VU Amsterdam
person:hai-zhuge,Hai Zhuge,,Senior PC Member at ISWC2012(Research Track),iswc2012:track/research,Chinese Academy of Sciences
person:hamdi-aloulou,Hamdi Aloulou,iswc2012:paper/inuse-10,,,"Image & Pervasive Access Lab (IPAL), UMI CNRS"
person:han-wang,Han Wang,iswc2012:paper/poster-demo-42,,,RPI
person:hanmin-jung,Hanmin Jung,iswc2012:paper/semantic-web-challenge-open-07,,,Korea Institute of Science and Technology Information
person:hans-uszkoreit,Hans Uszkoreit,iswc2012:paper/research-38,,,DFKI
person:hans-vasquez-gross,Hans Vasquez-Gross,iswc2012:paper/semantic-web-challenge-open-14,,,"University of California, Davis"
person:haofen-wang,Haofen Wang,,PC Member at ISWC2012(Poster and Demo),iswc2012:track/poster-demo,Shanghai Jiao Tong University
person:haofen-wang,Haofen Wang,,PC Member at ISWC2012(Research Track),iswc2012:track/research,Shanghai Jiao Tong University
person:haofen-wang,Haofen Wang,iswc2012:paper/poster-demo-12,,,Shanghai Jiao Tong University
person:haofen-wang,Haofen Wang,iswc2012:paper/poster-demo-27,,,Shanghai Jiao Tong University
person:haofen-wang,Haofen Wang,iswc2012:paper/research-22,,,Shanghai Jiao Tong University
person:harald-sack,Harald Sack,iswc2012:paper/evaluation-37,,,Hasso Plattner Institute
person:harith-alani,Harith Alani,,PC Member at ISWC2012(Doctoral Consortium),iswc2012:track/doctoral-consortium,"KMi, The Open University"
person:harith-alani,Harith Alani,,Senior PC Member at ISWC2012(Research Track),iswc2012:track/research,"KMi, The Open University"
person:harith-alani,Harith Alani,iswc2012:paper/research-14,,,"KMi, The Open University"
person:harith-alani,Harith Alani,iswc2012:paper/research-40,,,"KMi, The Open University"
person:harry-halpin,Harry Halpin,,PC Member at ISWC2012(Research Track),iswc2012:track/research,University of Edinburgh
person:harry-halpin,Harry Halpin,,Workshop Chair,workshop:lhd-semquant/2012,University of Edinburgh
person:hassan-saif,Hassan Saif,iswc2012:paper/research-40,,,"KMi, The Open University"
person:hector-perez-urbina,Héctor Pérez-Urbina,,PC Member at ISWC2012(Semantic Web In Use Track),iswc2012:track/inuse,Clark & Parsia
person:heiko-paulheim,Heiko Paulheim,iswc2012:paper/semantic-web-challenge-open-10,,,TU Darmstadt
person:heiko-paulheim,Heiko Paulheim,iswc2012:paper/semantic-web-challenge-open-12,,,TU Darmstadt
person:heiner-stuckenschmidt,Heiner Stuckenschmidt,,Senior PC Member at ISWC2012(Research Track),iswc2012:track/research,University of Mannheim
person:heiner-stuckenschmidt,Heiner Stuckenschmidt,,Workshop Chair,workshop:om/2012,University of Mannheim
person:hima-yalamanchili,Hima Yalamanchili,iswc2012:paper/semantic-web-challenge-open-02,,,"Kno.e.sis Center, Wright State University"
person:hiroko-kou,Hiroko Kou,iswc2012:paper/poster-demo-51,,,Osaka University
person:hiroyuki-toda,Hiroyuki Toda,iswc2012:paper/research-09,,,NTT
person:hoan-nguyen-mau-quoc,Hoan Nguyen Mau Quoc,iswc2012:paper/semantic-web-challenge-open-16,,,"DERI, NUI Galway"
person:holger-wache,Holger Wache,,PC Member at ISWC2012(Semantic Web In Use Track),iswc2012:track/inuse,University of Applied Sciences and Arts Northwestern Switzerland
person:hong-li,Hong Li,iswc2012:paper/research-38,,,DFKI
person:houda-khrouf,Houda Khrouf,iswc2012:paper/semantic-web-challenge-open-21,,,EURECOM
person:huajun-chen,Huajun Chen,,PC Member at ISWC2012(Research Track),iswc2012:track/research,Zhejiang University
person:hugh-glaser,Hugh Glaser,,PC Member at ISWC2012(Semantic Web In Use Track),iswc2012:track/inuse,University of Southampton
person:hugh-glaser,Hugh Glaser,iswc2012:paper/semantic-web-challenge-open-15,,,University of Southampton
person:hugh-williams,Hugh Williams,iswc2012:paper/inuse-51,,,OpenLink
person:ian-davis,Ian Davis,,PC Member at ISWC2012(Industry Track),iswc2012:track/industry,self
person:ian-dickinson,Ian Dickinson,,PC Member at ISWC2012(Research Track),iswc2012:track/research,Epimorphics
person:ian-horrocks,Ian Horrocks,,PC Member at ISWC2012(Doctoral Consortium),iswc2012:track/doctoral-consortium,University of Oxford
person:ian-horrocks,Ian Horrocks,,Senior PC Member at ISWC2012(Research Track),iswc2012:track/research,University of Oxford
person:ian-horrocks,Ian Horrocks,iswc2012:paper/research-05,,,University of Oxford
person:ian-millard,Ian Millard,iswc2012:paper/semantic-web-challenge-open-15,,,University of Southampton
person:ilianna-kollia,Ilianna Kollia,iswc2012:paper/research-11,,,National Technical University of Athens
person:ioannis-papoutsis,Ioannis Papoutsis,iswc2012:paper/poster-demo-28,,,National Observatory of Athens
person:ioannis-papoutsis,Ioannis Papoutsis,iswc2012:paper/semantic-web-challenge-open-17,,,National Observatory of Athens
person:ioannis-vlahavas,Ioannis Vlahavas,iswc2012:paper/semantic-web-challenge-open-03,,,Aristotle University of Thessaloniki
person:irene-celino,Irene Celino,iswc2012:paper/inuse-78,,,Politecnico di Milano
person:irene-celino,Irene Celino,iswc2012:paper/semantic-web-challenge-open-13,,,Politecnico di Milano
person:isabel-cruz,Isabel Cruz,,PC Member at ISWC2012(Research Track),iswc2012:track/research,University of Illinois at Chicago
person:ivan-cantador,Ivan Cantador,,PC Member at ISWC2012(Semantic Web In Use Track),iswc2012:track/inuse,Universidad Autonoma de Madrid
person:ivan-herman,Ivan Herman,,ISWC2012 Industry Chair,http://data.semanticweb.org/conference/iswc/2012,W3C
person:ivan-herman,Ivan Herman,,ISWC2012 Session Chair,iswc2012:session/industry-01,W3C
person:ivan-herman,Ivan Herman,,ISWC2012 Session Chair,iswc2012:session/industry-03,W3C
person:ivan-herman,Ivan Herman,,ISWC2012 Industry Chair,iswc2012:track/industry,W3C
person:ivan-herman,Ivan Herman,,PC Member at ISWC2012(Semantic Web In Use Track),iswc2012:track/inuse,W3C
person:ivan-herman,Ivan Herman,iswc2012:industry-proceedings,,,W3C
person:j-william-murdock,J William Murdock,iswc2012:paper/inuse-32,,,IBM Research
person:jacco-van-ossenbruggen,Jacco Van Ossenbruggen,,PC Member at ISWC2012(Semantic Web In Use Track),iswc2012:track/inuse,Centrum Wiskunde & Informatica (CWI)
person:jacopo-urbani,Jacopo Urbani,,Workshop Chair,workshop:swws_hpcsw/2012,VU Amsterdam
person:jacopo-urbani,Jacopo Urbani,iswc2012:paper/research-31,,,VU Amsterdam
person:jagannathan-srinivasan,Jagannathan Srinivasan,iswc2012:paper/industry-07,,,Oracle
person:jagannathan-srinivasan,Jagannathan Srinivasan,iswc2012:paper/semantic-web-challenge-open-02,,,Oracle
person:james-fan,James Fan,iswc2012:paper/inuse-32,,,IBM Research
person:james-michaelis,James Michaelis,iswc2012:paper/poster-demo-26,,,RPI
person:james-pustejovsky,James Pustejovsky,,Workshop Chair,workshop:msw/2012,Brandeis University
person:jamie-taylor,Jamie Taylor,,PC Member at ISWC2012(Semantic Web In Use Track),iswc2012:track/inuse,Metaweb
person:jan-michelfeit,Jan Michelfeit,iswc2012:paper/poster-demo-37,,,Charles University in Prague
person:jan-vitek,Jan Vitek,,Workshop Chair,workshop:psw/2012,Purdue University
person:jane-hunter,Jane Hunter,iswc2012:paper/inuse-17,,,University of Queensland
person:jane-hunter,Jane Hunter,iswc2012:paper/inuse-18,,,University of Queensland
person:jans-aasman,Jans Aasman,,PC Member at ISWC2012(Semantic Web In Use Track),iswc2012:track/inuse,Franz
person:jaroslav-kuchar,Jaroslav Kuchar,iswc2012:paper/research-08,,,Czech Technical University in Prague
person:jay-banerjee,Jay Banerjee,iswc2012:paper/industry-05,,,Oracle
person:jay-myers,Jay Myers,iswc2012:paper/industry-01,,,Best Buy
person:jean-christoph-jung,Jean Christoph Jung,iswc2012:paper/research-16,,,University of Bremen
person:jean-paul-calbimonte,Jean Paul Calbimonte,iswc2012:paper/research-27,,,Universidad Politecnica de Madrid
person:jeanne-holm,Jeanne Holm,iswc2012:paper/keynote-2,,,"Data.gov, U.S. General Services Administration"
person:jeff-heflin,Jeff Heflin,,ISWC2012 Program Chair,http://data.semanticweb.org/conference/iswc/2012,Lehigh University
person:jeff-heflin,Jeff Heflin,,ISWC2012 Program Chair,iswc2012:track/research,Lehigh University
person:jeff-heflin,Jeff Heflin,iswc2012:paper/semantic-web-challenge-btc-02,,,Lehigh University
person:jeff-heflin,Jeff Heflin,iswc2012:proceedings,,,Lehigh University
person:jeff-z-pan,Jeff Z. Pan,,ISWC2012 Session Chair,iswc2012:session/research-06,University of Aberdeen
person:jeff-z-pan,Jeff Z. Pan,,PC Member at ISWC2012(Research Track),iswc2012:track/research,University of Aberdeen
person:jeff-z-pan,Jeff Z. Pan,iswc2012:paper/research-33,,,University of Aberdeen
person:jennifer-golbeck,Jennifer Golbeck,,ISWC2012 Fellowship Chair,http://data.semanticweb.org/conference/iswc/2012,University of Maryland
person:jennifer-golbeck,Jennifer Golbeck,,PC Member at ISWC2012(Research Track),iswc2012:track/research,University of Maryland
person:jennifer-sleeman,Jennifer Sleeman,iswc2012:paper/doctor-consortium-14,,,University of Maryland Baltimore County
person:jens-lehmann,Jens Lehmann,,ISWC2012 Session Chair,iswc2012:session/research-05,University of Leipzig
person:jens-lehmann,Jens Lehmann,,PC Member at ISWC2012(Semantic Web In Use Track),iswc2012:track/inuse,University of Leipzig
person:jens-lehmann,Jens Lehmann,iswc2012:paper/inuse-51,,,University of Leipzig
person:jens-lehmann,Jens Lehmann,iswc2012:paper/inuse-71,,,University of Leipzig
person:jens-lehmann,Jens Lehmann,iswc2012:paper/research-21,,,University of Leipzig
person:jerome-euzenat,Jérôme Euzenat,,ISWC2012 Evaluation Chair,http://data.semanticweb.org/conference/iswc/2012,INRIA & LIG
person:jerome-euzenat,Jérôme Euzenat,,ISWC2012 Session Chair,iswc2012:session/evaluation-02,INRIA & LIG
person:jerome-euzenat,Jérôme Euzenat,,ISWC2012 Evaluation Chair,iswc2012:track/evaluation,INRIA & LIG
person:jerome-euzenat,Jérôme Euzenat,,PC Member at ISWC2012(Evaluation Track),iswc2012:track/evaluation,INRIA & LIG
person:jerome-euzenat,Jérôme Euzenat,,Senior PC Member at ISWC2012(Research Track),iswc2012:track/research,INRIA & LIG
person:jerome-euzenat,Jérôme Euzenat,,Workshop Chair,workshop:om/2012,INRIA & LIG
person:jerome-euzenat,Jérôme Euzenat,iswc2012:paper/research-29,,,INRIA & LIG
person:jerome-euzenat,Jérôme Euzenat,iswc2012:proceedings,,,INRIA & LIG
person:jesse-weaver,Jesse Weaver,,Workshop Chair,workshop:swws_hpcsw/2012,RPI
person:jie-bao,Jie Bao,,PC Member at ISWC2012(Research Track),iswc2012:track/research,Samsung Information Systems America
person:jie-bao,Jie Bao,,Workshop Chair,workshop:lhd-semquant/2012,Samsung Information Systems America
person:jie-liu,Jie Liu,iswc2012:paper/poster-demo-48,,,UALR
person:jie-tang,Jie Tang,,Senior PC Member at ISWC2012(Research Track),iswc2012:track/research,Tsinghua University
person:jill-wegrzyn,Jill Wegrzyn,iswc2012:paper/semantic-web-challenge-open-14,,,"University of California, Davis"
person:jim-hendler,Jim Hendler,,ISWC2012 Doctoral Consortium Chair,http://data.semanticweb.org/conference/iswc/2012,RPI
person:jim-hendler,Jim Hendler,,ISWC2012 Doctoral Consortium Chair,iswc2012:track/doctoral-consortium,RPI
person:jim-hendler,Jim Hendler,,Workshop Chair,workshop:lhd-semquant/2012,RPI
person:jim-hendler,Jim Hendler,,Workshop Chair,workshop:sw2022/2012,RPI
person:jim-hendler,Jim Hendler,iswc2012:paper/poster-demo-26,,,RPI
person:jim-hendler,Jim Hendler,iswc2012:proceedings,,,RPI
person:jinhyung-kim,Jinhyung Kim,iswc2012:paper/semantic-web-challenge-open-07,,,Korea Institute of Science and Technology Information
person:jit-biswas,Jit Biswas,iswc2012:paper/inuse-10,,,Institute for Infocomm Research
person:joanne-luciano,Joanne Luciano,iswc2012:paper/poster-demo-26,,,RPI
person:joaquim-gabarro,Joaquim Gabarro,iswc2012:paper/poster-demo-02,,,Universitat Politecnica de Catalunya
person:john-breslin,John Breslin,,PC Member at ISWC2012(Research Track),iswc2012:track/research,"DERI, NUI Galway"
person:john-domingue,John Domingue,,PC Member at ISWC2012(Research Track),iswc2012:track/research,"KMi, The Open University"
person:john-domingue,John Domingue,iswc2012:paper/research-15,,,"KMi, The Open University"
person:john-gianandrea,John Gianandrea,,ISWC2012 Panellist,iswc2012:panel/big-graph-data,Google
person:john-yu,John Yu,iswc2012:paper/semantic-web-challenge-open-14,,,"University of California, Davis"
person:jonathon-hare,Jonathon Hare,,Workshop Chair,workshop:kecsm/2012,University of Southampton
person:jose-luis-ambite,José Luis Ambite,,PC Member at ISWC2012(Research Track),iswc2012:track/research,"Information Sciences Institute, University of Southern California"
person:jose-luis-ambite,José Luis Ambite,iswc2012:paper/research-02,,,"Information Sciences Institute, University of Southern California"
person:jose-luis-ambite,José Luis Ambite,iswc2012:paper/research-28,,,"Information Sciences Institute, University of Southern California"
person:josef-hardi,Josef Hardi,iswc2012:paper/poster-demo-59,,,Free University of Bozen-Bolzano
person:josep-maria-brunetti-fernandez,Josep Maria Brunetti Fernández,iswc2012:paper/poster-demo-29,,,Universitat de Lleida
person:joseph-benik,Joseph Benik,iswc2012:paper/poster-demo-43,,,University of Maryland
person:josh-hanna,Josh Hanna,iswc2012:paper/poster-demo-48,,,UAMS
person:josiane-xavier-parreira,Josiane Xavier Parreira,,ISWC2012 Evaluation Chair,http://data.semanticweb.org/conference/iswc/2012,"DERI, NUI Galway"
person:josiane-xavier-parreira,Josiane Xavier Parreira,,ISWC2012 Session Chair,iswc2012:session/evaluation-03,"DERI, NUI Galway"
person:josiane-xavier-parreira,Josiane Xavier Parreira,,ISWC2012 Evaluation Chair,iswc2012:track/evaluation,"DERI, NUI Galway"
person:josiane-xavier-parreira,Josiane Xavier Parreira,,PC Member at ISWC2012(Evaluation Track),iswc2012:track/evaluation,"DERI, NUI Galway"
person:josiane-xavier-parreira,Josiane Xavier Parreira,,PC Member at ISWC2012(Research Track),iswc2012:track/research,"DERI, NUI Galway"
person:josiane-xavier-parreira,Josiane Xavier Parreira,iswc2012:paper/research-12,,,"DERI, NUI Galway"
person:josiane-xavier-parreira,Josiane Xavier Parreira,iswc2012:proceedings,,,"DERI, NUI Galway"
person:juan-f-sequeda,Juan F. Sequeda,,PC Member at ISWC2012(Research Track),iswc2012:track/research,University of Texas at Austin
person:juan-f-sequeda,Juan F. Sequeda,,Workshop Chair,workshop:cold/2012,University of Texas at Austin
person:juan-f-sequeda,Juan F. Sequeda,iswc2012:paper/poster-demo-41,,,University of Texas at Austin
person:juergen-umbrich,Jürgen Umbrich,,PC Member at ISWC2012(Poster and Demo),iswc2012:track/poster-demo,"DERI, NUI Galway"
person:juergen-umbrich,Jürgen Umbrich,iswc2012:paper/research-12,,,"DERI, NUI Galway"
person:juergen-umbrich,Jürgen Umbrich,iswc2012:paper/semantic-web-challenge-btc-03,,,"DERI, NUI Galway"
person:julien-cojan,Julien Cojan,iswc2012:paper/poster-demo-24,,,INRIA
person:julien-law-to,Julien Law-To,iswc2012:paper/semantic-web-challenge-open-06,,,"EXALEAD, Dassault Systèmes"
person:jun-zhao,Jun Zhao,,Tutorial Organizer,iswc2012:tutorial-7,University of Oxford
person:junfeng-pan,Junfeng Pan,iswc2012:paper/poster-demo-12,,,Shanghai Jiao Tong University
person:jyotishman-pathak,Jyotishman Pathak,,Workshop Chair,workshop:satbi-swim/2012,Mayo Clinic
person:kai-uwe-sattler,Kai-Uwe Sattler,,PC Member at ISWC2012(Evaluation Track),iswc2012:track/evaluation,TU Ilmenau
person:kapila-ponnamperuma,Kapila Ponnamperuma,iswc2012:paper/inuse-54,,,University of Aberdeen
person:kapila-ponnamperuma,Kapila Ponnamperuma,iswc2012:paper/poster-demo-61,,,University of Aberdeen
person:karin-breitman,Karin Breitman,,Workshop Chair,workshop:psw/2012,EMC R&D Brazil
person:karl-aberer,Karl Aberer,,PC Member at ISWC2012(Research Track),iswc2012:track/research,EPFL
person:karl-aberer,Karl Aberer,iswc2012:paper/evaluation-17,,,EPFL
person:karl-hammar,Karl Hammar,,Workshop Chair,workshop:wop/2012,Jönköping University
person:karl-rieb,Karl Rieb,iswc2012:paper/industry-05,,,Oracle
person:kathryn-dunn,Kathryn Dunn,iswc2012:paper/poster-demo-42,,,RPI
person:kathryn-laskey,Kathryn Laskey,,Workshop Chair,workshop:ursw/2012,George Mason University
person:kavi-mahesh,Kavi Mahesh,iswc2012:paper/semantic-web-challenge-open-05,,,PES Institute of Technology
person:kavitha-srinivas,Kavitha Srinivas,,PC Member at ISWC2012(Research Track),iswc2012:track/research,IBM Research
person:kavitha-srinivas,Kavitha Srinivas,iswc2012:paper/research-23,,,IBM Research
person:kazuhiko-ohe,Kazuhiko Ohe,iswc2012:paper/poster-demo-51,,,University of Tokyo
person:kelly-reynolds,Kelly Reynolds,iswc2012:paper/semantic-web-challenge-btc-02,,,Lehigh University
person:kemafor-anyanwu,Kemafor Anyanwu,,PC Member at ISWC2012(Research Track),iswc2012:track/research,North Carolina State University
person:kemafor-anyanwu,Kemafor Anyanwu,,Tutorial Organizer,iswc2012:tutorial-1,North Carolina State University
person:ken-barker,Ken Barker,iswc2012:paper/inuse-26,,,IBM Research
person:kendall-clark,Kendall Clark,iswc2012:paper/industry-12,,,Clark & Parsia
person:kerry-taylor,Kerry Taylor,,PC Member at ISWC2012(Research Track),iswc2012:track/research,CSIRO
person:kerry-taylor,Kerry Taylor,,Workshop Chair,workshop:ssn/2012,CSIRO
person:kewen-wang,Kewen Wang,,PC Member at ISWC2012(Semantic Web In Use Track),iswc2012:track/inuse,Griffith University
person:key-sun-choi,Key-Sun Choi,,PC Member at ISWC2012(Research Track),iswc2012:track/research,KAIST
person:khadija-elbedweihy,Khadija Elbedweihy,iswc2012:paper/evaluation-18,,,University of Sheffield
person:klaas-dellschaft,Klaas Dellschaft,,PC Member at ISWC2012(Poster and Demo),iswc2012:track/poster-demo,University of Koblenz-Landau
person:konrad-hoffner,Konrad Höffner,iswc2012:paper/inuse-71,,,University of Leipzig
person:konstantina-bereta,Konstantina Bereta,iswc2012:paper/poster-demo-28,,,National and Kapodistrian University of Athens
person:konstantina-bereta,Konstantina Bereta,iswc2012:paper/semantic-web-challenge-open-17,,,National and Kapodistrian University of Athens
