s,personLabel,paper,roleLabel,event,listAffiliation
person:andrea-nuzzolese,Andrea Giovanni Nuzzolese,iswc2012:paper/doctor-consortium-12,,,"University of Bologna;STLab, ISTC-CNR"
person:andrea-nuzzolese,Andrea Giovanni Nuzzolese,iswc2012:paper/research-13,,,"University of Bologna;STLab, ISTC-CNR"
person:andreas-harth,Andreas Harth,,ISWC2012 Semantic Web Challenge Chair,http://data.semanticweb.org/conference/iswc/2012,"AIFB, Karlsruhe Institute of Technology"
person:andreas-harth,Andreas Harth,,ISWC2012 Session Chair,iswc2012:session/research-11,"AIFB, Karlsruhe Institute of Technology"
person:andreas-harth,Andreas Harth,,PC Member at ISWC2012(Evaluation Track),iswc2012:track/evaluation,"AIFB, Karlsruhe Institute of Technology"
person:andreas-harth,Andreas Harth,,Senior PC Member at ISWC2012(Research Track),iswc2012:track/research,"AIFB, Karlsruhe Institute of Technology"
person:andreas-harth,Andreas Harth,,ISWC2012 Semantic Web Challenge Chair,iswc2012:track/semantic-web-challenge,"AIFB, Karlsruhe Institute of Technology"
person:andreas-harth,Andreas Harth,,Workshop Chair,workshop:cold/2012,"AIFB, Karlsruhe Institute of Technology"
person:andreas-harth,Andreas Harth,iswc2012:paper/research-01,,,"AIFB, Karlsruhe Institute of Technology"
person:andreas-harth,Andreas Harth,iswc2012:semantic-web-challenge-proceedings,,,"AIFB, Karlsruhe Institute of Technology"
person:andreas-hotho,Andreas Hotho,,PC Member at ISWC2012(Research Track),iswc2012:track/research,University of Wuerzburg
person:andreas-thalhammer,Andreas Thalhammer,iswc2012:paper/evaluation-37,,,University of Innsbruck
person:andreas-thor,Andreas Thor,iswc2012:paper/poster-demo-43,,,University of Leipzig
person:andreas-zankl,Andreas Zankl,iswc2012:paper/inuse-17,,,University of Queensland
person:andreas-zankl,Andreas Zankl,iswc2012:paper/inuse-18,,,University of Queensland
person:andrew-sellers,Andrew Sellers,iswc2012:paper/inuse-71,,,University of Oxford
person:andriana-gkaniatsou,Andriana Gkaniatsou,,Workshop Chair,workshop:lhd-semquant/2012,University of Edinburgh
person:angel-garcia-crespo,Angel García Crespo,,Workshop Chair,workshop:satbi-swim/2012,University Carlos III of Madrid
person:anika-schumann,Anika Schumann,iswc2012:paper/inuse-58,,,IBM Research
person:anika-schumann,Anika Schumann,iswc2012:paper/poster-demo-47,,,IBM Research
person:anika-schumann,Anika Schumann,iswc2012:paper/semantic-web-challenge-open-18,,,IBM Research
person:anisa-rula,Anisa Rula,iswc2012:paper/research-01,,,University of Milano-Bicocca
person:annika-hinze,Annika Hinze,iswc2012:paper/research-07,,,University of Waikato
person:ansgar-scherp,Ansgar Scherp,iswc2012:paper/semantic-web-challenge-btc-01,,,University of Koblenz and Landau
person:antoine-isaac,Antoine Isaac,,PC Member at ISWC2012(Evaluation Track),iswc2012:track/evaluation,VU Amsterdam
person:antoine-zimmermann,Antoine Zimmermann,,PC Member at ISWC2012(Research Track),iswc2012:track/research,École des Mines de Saint-Étienne
person:anupriya-ankolekar,Anupriya Ankolekar,,PC Member at ISWC2012(Semantic Web In Use Track),iswc2012:track/inuse,HP Labs
person:arantza-illarramendi,Arantza Illarramendi,,PC Member at ISWC2012(Research Track),iswc2012:track/research,Basque Country University
person:archana-venbakam,Archana Venbakam,iswc2012:paper/industry-02,,,YarcData
person:aris-gkoulalas-divanis,Aris Gkoulalas-Divanis,iswc2012:paper/inuse-39,,,IBM Research
person:aris-gkoulalas-divanis,Aris Gkoulalas-Divanis,iswc2012:paper/semantic-web-challenge-open-18,,,IBM Research
person:armin-haller,Armin Haller,,PC Member at ISWC2012(Semantic Web In Use Track),iswc2012:track/inuse,"DERI, NUI Galway"
person:arne-peters,Arne Peters,iswc2012:paper/semantic-web-challenge-btc-01,,,University of Koblenz and Landau
person:asuncion-gomez-perez,Asunción Gómez-Pérez,,PC Member at ISWC2012(Evaluation Track),iswc2012:track/evaluation,Universidad Politecnica de Madrid
