s,personLabel,firstName,lastName,listAffiliation,affiliationLabel
person:jay-myers,Jay Myers,Jay,Myers,Best Buy,Best Buy
person:jean-christoph-jung,Jean Christoph Jung,Jean,Jung,University of Bremen,University of Bremen
person:jean-paul-calbimonte,Jean Paul Calbimonte,Jean,Calbimonte,Universidad Politecnica de Madrid,Universidad Politecnica de Madrid
person:jeanne-holm,Jeanne Holm,Jeanne,Holm,"Data.gov, U.S. General Services Administration","Data.gov, U.S. General Services Administration"
person:jeff-heflin,Jeff Heflin,Jeff,Heflin,Lehigh University,Lehigh University
person:jeff-z-pan,Jeff Z. Pan,Jeff,Pan,University of Aberdeen,University of Aberdeen
person:jennifer-golbeck,Jennifer Golbeck,Jennifer,Golbeck,University of Maryland,University of Maryland
person:jennifer-sleeman,Jennifer Sleeman,Jennifer,Sleeman,University of Maryland Baltimore County,University of Maryland Baltimore County
person:jens-lehmann,Jens Lehmann,Jens,Lehmann,University of Leipzig,University of Leipzig
person:jerome-euzenat,Jérôme Euzenat,Jérôme,Euzenat,INRIA & LIG,INRIA & LIG
person:jesse-weaver,Jesse Weaver,Jesse,Weaver,RPI,RPI
person:jie-bao,Jie Bao,Jie,Bao,Samsung Information Systems America,Samsung Information Systems America
person:jie-liu,Jie Liu,Jie,Liu,UALR,UALR
person:jie-tang,Jie Tang,Jie,Tang,Tsinghua University,Tsinghua University
person:jill-wegrzyn,Jill Wegrzyn,Jill,Wegrzyn,"University of California, Davis","University of California, Davis"
person:jim-hendler,Jim Hendler,Jim,Hendler,RPI,RPI
person:jinhyung-kim,Jinhyung Kim,Jinhyung,Kim,Korea Institute of Science and Technology Information,Korea Institute of Science and Technology Information
person:jit-biswas,Jit Biswas,Jit,Biswas,Institute for Infocomm Research,Institute for Infocomm Research
person:joanne-luciano,Joanne Luciano,Joanne,Luciano,RPI,RPI
person:joaquim-gabarro,Joaquim Gabarro,Joaquim,Gabarro,Universitat Politecnica de Catalunya,Universitat Politecnica de Catalunya
person:john-breslin,John Breslin,John,Breslin,"DERI, NUI Galway","DERI, NUI Galway"
person:john-domingue,John Domingue,John,Domingue,"KMi, The Open University","KMi, The Open University"
person:john-gianandrea,John Gianandrea,John,Gianandrea,Google,Google
person:john-yu,John Yu,John,Yu,"University of California, Davis","University of California, Davis"
person:jonathon-hare,Jonathon Hare,Jonathon,Hare,University of Southampton,University of Southampton
person:jose-luis-ambite,José Luis Ambite,José,Ambite,"Information Sciences Institute, University of Southern California","Information Sciences Institute, University of Southern California"
person:josef-hardi,Josef Hardi,Josef,Hardi,Free University of Bozen-Bolzano,Free University of Bozen-Bolzano
person:josep-maria-brunetti-fernandez,Josep Maria Brunetti Fernández,Josep Maria,Brunetti Fernández,Universitat de Lleida,Universitat de Lleida
person:joseph-benik,Joseph Benik,Joseph,Benik,University of Maryland,University of Maryland
person:josh-hanna,Josh Hanna,Josh,Hanna,UAMS,UAMS
person:josiane-xavier-parreira,Josiane Xavier Parreira,Josiane,Parreira,"DERI, NUI Galway","DERI, NUI Galway"
person:juan-f-sequeda,Juan F. Sequeda,Juan,Sequeda,University of Texas at Austin,University of Texas at Austin
person:julien-cojan,Julien Cojan,Julien,Cojan,INRIA,INRIA
person:julien-law-to,Julien Law-To,Julien,Law-To,"EXALEAD, Dassault Systèmes","EXALEAD, Dassault Systèmes"
person:jun-zhao,Jun Zhao,Jun,Zhao,University of Oxford,University of Oxford
person:junfeng-pan,Junfeng Pan,Junfeng,Pan,Shanghai Jiao Tong University,Shanghai Jiao Tong University
person:jurgen-umbrich,Jürgen Umbrich,Jürgen,Umbrich,"DERI, NUI Galway","DERI, NUI Galway"
person:jyotishman-pathak,Jyotishman Pathak,Jyotishman,Pathak,Mayo Clinic,Mayo Clinic
person:kai-uwe-sattler,Kai-Uwe Sattler,Kai-Uwe,Sattler,TU Ilmenau,TU Ilmenau
person:kapila-ponnamperuma,Kapila Ponnamperuma,Kapila,Ponnamperuma,University of Aberdeen,University of Aberdeen
person:karin-breitman,Karin Breitman,Karin,Breitman,EMC R&D Brazil,EMC R&D Brazil
person:karl-aberer,Karl Aberer,Karl,Aberer,EPFL,EPFL
person:karl-hammar,Karl Hammar,Karl,Hammar,Jönköping University,Jönköping University
person:karl-rieb,Karl Rieb,Karl,Rieb,Oracle,Oracle
person:kathryn-dunn,Kathryn Dunn,Kathryn,Dunn,RPI,RPI
person:kathryn-laskey,Kathryn Laskey,Kathryn,Laskey,George Mason University,George Mason University
person:kavi-mahesh,Kavi Mahesh,Kavi,Mahesh,PES Institute of Technology,PES Institute of Technology
person:kavitha-srinivas,Kavitha Srinivas,Kavitha,Srinivas,IBM Research,IBM Research
person:kazuhiko-ohe,Kazuhiko Ohe,Kazuhiko,Ohe,University of Tokyo,University of Tokyo
person:kelly-reynolds,Kelly Reynolds,Kelly,Reynolds,Lehigh University,Lehigh University
person:kemafor-anyanwu,Kemafor Anyanwu,Kemafor,Anyanwu,North Carolina State University,North Carolina State University
person:ken-barker,Ken Barker,Ken,Barker,IBM Research,IBM Research
person:kendall-clark,Kendall Clark,Kendall,Clark,Clark & Parsia,Clark & Parsia
person:kerry-taylor,Kerry Taylor,Kerry,Taylor,CSIRO,CSIRO
person:kewen-wang,Kewen Wang,Kewen,Wang,Griffith University,Griffith University
person:key-sun-choi,Key-Sun Choi,Key-Sun,Choi,KAIST,KAIST
person:khadija-elbedweihy,Khadija Elbedweihy,Khadija,Elbedweihy,University of Sheffield,University of Sheffield
person:klaas-dellschaft,Klaas Dellschaft,Klaas,Dellschaft,University of Koblenz-Landau,University of Koblenz-Landau
person:konrad-hoffner,Konrad Höffner,Konrad,Höffner,University of Leipzig,University of Leipzig
person:konstantina-bereta,Konstantina Bereta,Konstantina,Bereta,National and Kapodistrian University of Athens,National and Kapodistrian University of Athens
person:kostis-kyzirakos,Kostis Kyzirakos,Kostis,Kyzirakos,National and Kapodistrian University of Athens,National and Kapodistrian University of Athens
person:kostyantyn-shchekotykhin,Kostyantyn Shchekotykhin,Kostyantyn,Shchekotykhin,UNI Klagenfurt,UNI Klagenfurt
person:kouji-kozaki,Kouji Kozaki,Kouji,Kozaki,"I.S.I.R., Osaka University","I.S.I.R., Osaka University"
person:krishnaprasad-thirunarayan,Krishnaprasad Thirunarayan,Krishnaprasad,Thirunarayan,"Kno.e.sis Center, Wright State University","Kno.e.sis Center, Wright State University"
person:kristian-slabbekoorn,Kristian Slabbekoorn,Kristian,Slabbekoorn,Tokyo Institute of Technology,Tokyo Institute of Technology
person:krzysztof-janowicz,Krzysztof Janowicz,Krzysztof,Janowicz,UC Santa Barbara,UC Santa Barbara
person:lalana-kagal,Lalana Kagal,Lalana,Kagal,MIT,MIT
person:laszlo-torok,Laszlo Török,Laszlo,Török,University of Mynuch,University of Mynuch
person:laura-hollink,Laura Hollink,Laura,Hollink,VU Amsterdam,VU Amsterdam
person:laurens-de-vocht,Laurens De Vocht,Laurens,De Vocht,Ghent University,Ghent University
person:laurens-rietveld,Laurens Rietveld,Laurens,Rietveld,VU Amsterdam,VU Amsterdam
person:leigh-dodds,Leigh Dodds,Leigh,Dodds,Ingenta,Ingenta
person:leora-morgenstern,Leora Morgenstern,Leora,Morgenstern,SAIC,SAIC
person:letizia-tanca,Letizia Tanca,Letizia,Tanca,Politecnico di Milano,Politecnico di Milano
person:li-ding,Li Ding,Li,Ding,Qualcomm,Qualcomm
person:li-tian,Li Tian,Li,Tian,Shanghai Jiao Tong University,Shanghai Jiao Tong University
person:lin-clark,Lin Clark,Lin,Clark,"DERI, NUI Galway","DERI, NUI Galway"
person:lina-zhou,Lina Zhou,Lina,Zhou,University of Maryland Baltimore County,University of Maryland Baltimore County
person:line-pouchard,Line Pouchard,Line,Pouchard,Oak Ridge National Laboratory,Oak Ridge National Laboratory
person:ljiljana-stojanovic,Ljiljana Stojanovic,Ljiljana,Stojanovic,FZI Research Center for Information Technology,FZI Research Center for Information Technology
person:lora-aroyo,Lora Aroyo,Lora,Aroyo,VU Amsterdam,VU Amsterdam
person:lorenz-buhmann,Lorenz Bühmann,Lorenz,Bühmann,University of Leipzig,University of Leipzig
person:louiqa-raschid,Louiqa Raschid,Louiqa,Raschid,University of Maryland,University of Maryland
person:luc-moreau,Luc Moreau,Luc,Moreau,University of Southampton,University of Southampton
person:luciano-serafini,Luciano Serafini,Luciano,Serafini,Fondazione Bruno Kessler,Fondazione Bruno Kessler
person:lyndon-nixon,Lyndon Nixon,Lyndon,Nixon,STI International,STI International
person:maciej-zaremba,Maciej Zaremba,Maciej,Zaremba,"DERI, NUI Galway","DERI, NUI Galway"
person:magnus-knuth,Magnus Knuth,Magnus,Knuth,Hasso Plattner Institute,Hasso Plattner Institute
person:magnus-white,Magnus White,Magnus,White,University of Southampton,University of Southampton
person:makoto-nakatsuji,Makoto Nakatsuji,Makoto,Nakatsuji,NTT,NTT
person:manfred-hauswirth,Manfred Hauswirth,Manfred,Hauswirth,"DERI, NUI Galway","DERI, NUI Galway"
person:manolis-koubarakis,Manolis Koubarakis,Manolis,Koubarakis,National and Kapodistrian University of Athens,National and Kapodistrian University of Athens
person:manos-karpathiotakis,Manos Karpathiotakis,Manos,Karpathiotakis,National and Kapodistrian University of Athens,National and Kapodistrian University of Athens
person:manuel-atencia,Manuel Atencia,Manuel,Atencia,INRIA & University of Grenoble,INRIA & University of Grenoble
person:manuel-salvadores,Manuel Salvadores,Manuel,Salvadores,Stanford University,Stanford University
person:marcel-karnstedt,Marcel Karnstedt,Marcel,Karnstedt,"DERI, NUI Galway","DERI, NUI Galway"
person:marco-balduini,Marco Balduini,Marco,Balduini,Politecnico di Milano,Politecnico di Milano
person:marco-de-gemmis,Marco de Gemmis,Marco,de Gemmis,University of Bari,University of Bari
person:marco-luca-sbodio,Marco Luca Sbodio,Marco Luca,Sbodio,IBM Research,IBM Research
person:marco-rospocher,Marco Rospocher,Marco,Rospocher,Fondazione Bruno Kessler,Fondazione Bruno Kessler
person:marco-ruzzi,Marco Ruzzi,Marco,Ruzzi,Sapienza Università di Roma,Sapienza Università di Roma
person:mari-carmen-suarez-figueroa,Mari Carmen Suárez-Figueroa,Mari Carmen,Suárez-Figueroa,Universidad Politecnica de Madrid,Universidad Politecnica de Madrid
person:maria-esther-vidal,Maria-Esther Vidal,Maria-Esther,Vidal,Universidad Simon Bolivar,Universidad Simon Bolivar
person:mariano-rodriguez-muro,Mariano Rodriguez-Muro,Mariano,Rodriguez-Muro,Free University of Bozen-Bolzano,Free University of Bozen-Bolzano
person:marie-christine-rousset,Marie-Christine Rousset,Marie-Christine,Rousset,University of Grenoble,University of Grenoble
person:marieke-van-erp,Marieke Van Erp,Marieke,Van Erp,VU Amsterdam,VU Amsterdam
person:mark-a-musen,Mark A. Musen,Mark,Musen,Stanford University,Stanford University
person:mark-greaves,Mark Greaves,Mark,Greaves,Vulcan,Vulcan
person:mark-wilkinson,Mark Wilkinson,Mark,Wilkinson,Bioinformatics at Centre for Plant Biotechnology and Genomics UPM-INIA,Bioinformatics at Centre for Plant Biotechnology and Genomics UPM-INIA
person:markus-krotzsch,Markus Krötzsch,Markus,Krötzsch,University of Oxford,University of Oxford
person:markus-luczak-rosch,Markus Luczak-Rösch,Markus,Luczak-Rösch,Free University of Berlin,Free University of Berlin
person:markus-strohmaier,Markus Strohmaier,Markus,Strohmaier,Graz University of Technology,Graz University of Technology
person:marta-corubolo,Marta Corubolo,Marta,Corubolo,Politecnico di Milano,Politecnico di Milano
person:marta-sabou,Marta Sabou,Marta,Sabou,MODUL University Vienna,MODUL University Vienna
person:martin-hepp,Martin Hepp,Martin,Hepp,Bundeswehr University Munich,Bundeswehr University Munich
person:martin-serrano,Martin Serrano,Martin,Serrano,"DERI, NUI Galway","DERI, NUI Galway"
person:martin-stephenson,Martin Stephenson,Martin,Stephenson,IBM Research,IBM Research
person:martin-theobald,Martin Theobald,Martin,Theobald,Max Planck Institute for Informatics,Max Planck Institute for Informatics
person:massimo-paolucci,Massimo Paolucci,Massimo,Paolucci,DoCoMo Euro labs,DoCoMo Euro labs
person:mathias-brochhausen,Mathias Brochhausen,Mathias,Brochhausen,UAMS,UAMS
person:mathieu-daquin,Mathieu d'Aquin,Mathieu,d'Aquin,"KMi, The Open University","KMi, The Open University"
person:matthew-horridge,Matthew Horridge,Matthew,Horridge,Stanford University,Stanford University
person:matthew-perry,Matthew Perry,Matthew,Perry,Oracle,Oracle
person:matthew-rowe,Matthew Rowe,Matthew,Rowe,"KMi, The Open University","KMi, The Open University"
person:matthias-klusch,Matthias Klusch,Matthias,Klusch,DFKI,DFKI
person:matthias-nickles,Matthias Nickles,Matthias,Nickles,Technical University of Munich,Technical University of Munich
person:matthias-thimm,Matthias Thimm,Matthias,Thimm,University of Koblenz and Landau,University of Koblenz and Landau
person:maximilian-nickel,Maximilian Nickel,Maximilian,Nickel,Ludwig Maximilians University of Munich,Ludwig Maximilians University of Munich
person:michael-benedikt,Michael Benedikt,Michael,Benedikt,University of Oxford,University of Oxford
person:michael-fink,Michael Fink,Michael,Fink,Vienna University of Technology,Vienna University of Technology
person:michael-gruninger,Michael Gruninger,Michael,Gruninger,University of Toronto,University of Toronto
person:michael-hausenblas,Michael Hausenblas,Michael,Hausenblas,"DERI, NUI Galway","DERI, NUI Galway"
person:michael-kifer,Michael Kifer,Michael,Kifer,Stony Brook University,Stony Brook University
person:michael-martin,Michael Martin,Michael,Martin,University of Leipzig,University of Leipzig
person:michael-schmidt,Michael Schmidt,Michael,Schmidt,fluid Operations,fluid Operations
person:michael-schumacher,Michael Schumacher,Michael,Schumacher,University of Applied Sciences Western Switzerland,University of Applied Sciences Western Switzerland
person:michael-sintek,Michael Sintek,Michael,Sintek,DFKI,DFKI
person:michael-sioutis,Michael Sioutis,Michael,Sioutis,National and Kapodistrian University of Athens,National and Kapodistrian University of Athens
person:michael-uschold,Michael Uschold,Michael,Uschold,Reinvent Technology,Reinvent Technology
person:michael-ward,Michael Ward,Michael,Ward,IBM Research,IBM Research
person:michael-watzke,Michael Watzke,Michael,Watzke,"Siemens AG, Corporate Technology","Siemens AG, Corporate Technology"
person:michiel-hildebrand,Michiel Hildebrand,Michiel,Hildebrand,VU Amsterdam,VU Amsterdam
person:miel-vander-sande,Miel Vander Sande,Miel,Vander Sande,Ghent University,Ghent University
person:mike-dean,Mike Dean,Mike,Dean,Raytheon BBN Technologies,Raytheon BBN Technologies
person:mike-stonebreaker,Mike Stonebreaker,Mike,Stonebreaker,MIT,MIT
person:mike-wald,Mike Wald,Mike,Wald,University of Southampton,University of Southampton
person:mikko-rinne,Mikko Rinne,Mikko,Rinne,Aalto University,Aalto University
person:milan-dojchinovski,Milan Dojchinovski,Milan,Dojchinovski,Czech Technical University in Prague,Czech Technical University in Prague
person:milan-stankovic,Milan Stankovic,Milan,Stankovic,Hypios,Hypios
person:ming-mao,Ming Mao,Ming,Mao,SAP Labs USA,SAP Labs USA
person:minh-dao-tran,Minh Dao-Tran,Minh,Dao-Tran,Vienna University of Technology,Vienna University of Technology
person:minh-duc-pham,Minh-Duc Pham,Minh-Duc,Pham,Centrum Wiskunde & Informatica (CWI),Centrum Wiskunde & Informatica (CWI)
person:miriam-fernandez,Miriam Fernandez,Miriam,Fernandez,"KMi, The Open University","KMi, The Open University"
person:mirko-graziosi,Mirko Graziosi,Mirko,Graziosi,Sapienza Università di Roma,Sapienza Università di Roma
person:mohamed-morsey,Mohamed Morsey,Mohamed,Morsey,University of Leipzig,University of Leipzig
person:mohsen-taheriyan,Mohsen Taheriyan,Mohsen,Taheriyan,"Information Sciences Institute, University of Southern California","Information Sciences Institute, University of Southern California"
person:monika-solanki,Monika Solanki,Monika,Solanki,Birmingham City University,Birmingham City University
person:montiago-labute,Montiago Labute,Montiago,Labute,YarcData,YarcData
person:mounir-mokhtari,Mounir Mokhtari,Mounir,Mokhtari,"Image & Pervasive Access Lab (IPAL), UMI CNRS","Image & Pervasive Access Lab (IPAL), UMI CNRS"
person:murat-kantarcioglu,Murat Kantarcioglu,Murat,Kantarcioglu,University of Texas at Dallas,University of Texas at Dallas
person:myunggwon-hwang,Myunggwon Hwang,Myunggwon,Hwang,Korea Institute of Science and Technology Information,Korea Institute of Science and Technology Information
person:nadeschda-nikitina,Nadeschda Nikitina,Nadeschda,Nikitina,"AIFB, Karlsruhe Institute of Technology","AIFB, Karlsruhe Institute of Technology"
person:naimdjon-takhirov,Naimdjon Takhirov,Naimdjon,Takhirov,Norwegian University of Science and Technology,Norwegian University of Science and Technology
person:naoki-fukuta,Naoki Fukuta,Naoki,Fukuta,Shizuoka University,Shizuoka University
person:natasha-f-noy,Natasha F. Noy,Natasha,Noy,Stanford University,Stanford University
person:nathan-wilson,Nathan Wilson,Nathan,Wilson,Marine Biological Laboratory,Marine Biological Laboratory
person:nenad-stojanovic,Nenad Stojanovic,Nenad,Stojanovic,FZI Research Center for Information Technology,FZI Research Center for Information Technology
person:nick-bassiliades,Nick Bassiliades,Nick,Bassiliades,Aristotle University of Thessaloniki,Aristotle University of Thessaloniki
person:nicola-fanizzi,Nicola Fanizzi,Nicola,Fanizzi,University of Bari,University of Bari
person:nicola-guarino,Nicola Guarino,Nicola,Guarino,ISTC-CNR,ISTC-CNR
person:nigam-shah,Nigam Shah,Nigam,Shah,Stanford University,Stanford University
person:nigel-shadbolt,Nigel Shadbolt,Nigel,Shadbolt,University of Southampton,University of Southampton
person:nitish-aggarwal,Nitish Aggarwal,Nitish,Aggarwal,"DERI, NUI Galway","DERI, NUI Galway"
person:norman-heino,Norman Heino,Norman,Heino,University of Leipzig,University of Leipzig
person:oktie-hassanzadeh,Oktie Hassanzadeh,Oktie,Hassanzadeh,IBM Research,IBM Research
person:olaf-gorlitz,Olaf Görlitz,Olaf,Görlitz,University of Koblenz and Landau,University of Koblenz and Landau
person:olaf-hartig,Olaf Hartig,Olaf,Hartig,Humboldt University of Berlin,Humboldt University of Berlin
person:oleg-ruchayskiy,Oleg Ruchayskiy,Oleg,Ruchayskiy,CERN,CERN
person:olivier-bodenreider,Olivier Bodenreider,Olivier,Bodenreider,National Library of Medicine,National Library of Medicine
person:olivier-cure,Olivier Curé,Olivier,Curé,Université Paris-Est LIGM,Université Paris-Est LIGM
person:ondrej-svab-zamazal,Ondrej Svab-Zamazal,Ondrej,Svab-Zamazal,"University of Economics, Prague","University of Economics, Prague"
person:opher-etzion,Opher Etzion,Opher,Etzion,"IBM Research Lab , Haifa, Israel","IBM Research Lab , Haifa, Israel"
person:ora-lassila,Ora Lassila,Ora,Lassila,Nokia Services,Nokia Services
person:orri-erling,Orri Erling,Orri,Erling,OpenLink,OpenLink
person:oscar-corcho,Oscar Corcho,Oscar,Corcho,Universidad Politecnica de Madrid,Universidad Politecnica de Madrid
person:oshani-seneviratne,Oshani Seneviratne,Oshani,Seneviratne,MIT,MIT
person:ozgur-lutfu-ozcep,Özgür Lütfü Özcep,Özgür,Özcep,Technical University of Hamburg,Technical University of Hamburg
person:pablo-mendes,Pablo Mendes,Pablo,Mendes,Free University of Berlin,Free University of Berlin
person:padmashree-ravindra,Padmashree Ravindra,Padmashree,Ravindra,North Carolina State University,North Carolina State University
person:pallavi-karanth,Pallavi Karanth,Pallavi,Karanth,PES Institute of Technology,PES Institute of Technology
person:palmonari-matteo,Palmonari Matteo,Palmonari,Matteo,University of Milano-Bicocca,University of Milano-Bicocca
person:paolo-bouquet,Paolo Bouquet,Paolo,Bouquet,University of Trento,University of Trento
person:paolo-castagna,Paolo Castagna,Paolo,Castagna,Talis,Talis
person:paolo-ciancarini,Paolo Ciancarini,Paolo,Ciancarini,University of Bologna,University of Bologna
person:paolo-ciccarese,Paolo Ciccarese,Paolo,Ciccarese,Massachusetts General Hospital,Massachusetts General Hospital
person:pascal-hitzler,Pascal Hitzler,Pascal,Hitzler,"Kno.e.sis Center, Wright State University","Kno.e.sis Center, Wright State University"
person:pasquale-lops,Pasquale Lops,Pasquale,Lops,University of Bari,University of Bari
person:patrick-rodler,Patrick Rodler,Patrick,Rodler,Alpen-Adria Universität,Alpen-Adria Universität
person:patrick-siehndel,Patrick Siehndel,Patrick,Siehndel,L3S Research Center,L3S Research Center
person:patrick-sinclair,Patrick Sinclair,Patrick,Sinclair,BBC,BBC
person:paul-alexander,Paul Alexander,Paul,Alexander,Stanford University,Stanford University
person:paul-buitelaar,Paul Buitelaar,Paul,Buitelaar,"DERI, NUI Galway","DERI, NUI Galway"
person:paul-groth,Paul Groth,Paul,Groth,VU Amsterdam,VU Amsterdam
person:paulo-costa,Paulo Costa,Paulo,Costa,George Mason University,George Mason University
person:paulo-pinheiro-da-silva,Paulo Pinheiro Da Silva,Paulo,Silva,University of Texas at El Paso,University of Texas at El Paso
person:pavel-klinov,Pavel Klinov,Pavel,Klinov,University of Ulm,University of Ulm
person:pavel-shvaiko,Pavel Shvaiko,Pavel,Shvaiko,"TasLab, Informatica Trentina SpA","TasLab, Informatica Trentina SpA"
person:pavlos-fafalios,Pavlos Fafalios,Pavlos,Fafalios,FORTH-ICS,FORTH-ICS
person:payam-barnaghi,Payam Barnaghi,Payam,Barnaghi,University of Surrey,University of Surrey
person:pedro-debevere,Pedro Debevere,Pedro,Debevere,Ghent University,Ghent University
person:pedro-szekely,Pedro Szekely,Pedro,Szekely,"Information Sciences Institute, University of Southern California","Information Sciences Institute, University of Southern California"
person:peter-boncz,Peter Boncz,Peter,Boncz,Centrum Wiskunde & Informatica (CWI),Centrum Wiskunde & Informatica (CWI)
person:peter-edwards,Peter Edwards,Peter,Edwards,University of Aberdeen,University of Aberdeen
person:peter-haase,Peter Haase,Peter,Haase,fluid Operations,fluid Operations
person:peter-mika,Peter Mika,Peter,Mika,Yahoo! Research,Yahoo! Research
person:peter-patel-schneider,Peter Patel-Schneider,Peter,Patel-Schneider,Nuance Communications,Nuance Communications
person:philipp-cimiano,Philipp Cimiano,Philipp,Cimiano,Bielefeld University,Bielefeld University
person:philipp-fleiss,Philipp Fleiss,Philipp,Fleiss,Alpen-Adria Universität,Alpen-Adria Universität
person:philippe-cudre-mauroux,Philippe Cudré-Mauroux,Philippe,Cudré-Mauroux,University of Fribourg,University of Fribourg
person:philippe-thiran,Philippe Thiran,Philippe,Thiran,University of Namur,University of Namur
person:pieterjan-de-potter,Pieterjan De Potter,Pieterjan,De Potter,Ghent University,Ghent University
person:pol-mac-aonghusa,Pol Mac Aonghusa,Pol,Mac Aonghusa,IBM Research,IBM Research
person:prasenjit-mitra,Prasenjit Mitra,Prasenjit,Mitra,Pennsylvania State University,Pennsylvania State University
person:qiang-yang,Qiang Yang,Qiang,Yang,Hong Kong University of Science and Technology,Hong Kong University of Science and Technology
person:qunzhi-zhou,Qunzhi Zhou,Qunzhi,Zhou,University of Southern California,University of Southern California
person:rafael-s-goncalves,Rafael S. Gonçalves,Rafael,Gonçalves,University of Manchester,University of Manchester
person:raghava-mutharaju,Raghava Mutharaju,Raghava,Mutharaju,"Kno.e.sis Center, Wright State University","Kno.e.sis Center, Wright State University"
person:rahul-parundekar,Rahul Parundekar,Rahul,Parundekar,"Information Sciences Institute, University of Southern California","Information Sciences Institute, University of Southern California"
person:ralf-heese,Ralf Heese,Ralf,Heese,Free University of Berlin,Free University of Berlin
person:ralf-moller,Ralf Möller,Ralf,Möller,Technical University of Hamburg,Technical University of Hamburg
person:ramakanth-kavuluru,Ramakanth Kavuluru,Ramakanth,Kavuluru,University of Kentucky,University of Kentucky
person:raphael-troncy,Raphaël Troncy,Raphaël,Troncy,EURECOM,EURECOM
person:raul-garcia-castro,Raúl García-Castro,Raúl,García-Castro,Universidad Politecnica de Madrid,Universidad Politecnica de Madrid
person:ray-w-fergerson,Ray W. Fergerson,Ray W.,Fergerson,Stanford University,Stanford University
person:raymond-lloyd,Raymond Lloyd,Raymond,Lloyd,IBM Research,IBM Research
person:razan-paul,Razan Paul,Razan,Paul,University of Queensland,University of Queensland
person:rehab-albeladi,Rehab Albeladi,Rehab,Albeladi,University of Southampton,University of Southampton
person:renaud-delbru,Renaud Delbru,Renaud,Delbru,"DERI, NUI Galway","DERI, NUI Galway"
person:ricardo-kawase,Ricardo Kawase,Ricardo,Kawase,L3S Research Center,L3S Research Center
person:riccardo-rosati,Riccardo Rosati,Riccardo,Rosati,Sapienza Università di Roma,Sapienza Università di Roma
person:richard-boyce,Richard Boyce,Richard,Boyce,University of Pittstburgh,University of Pittstburgh
person:richard-cyganiak,Richard Cyganiak,Richard,Cyganiak,"DERI, NUI Galway","DERI, NUI Galway"
person:riichiro-mizoguchi,Riichiro Mizoguchi,Riichiro,Mizoguchi,Osaka University,Osaka University
person:rik-van-de-walle,Rik Van de Walle,Rik,Van de Walle,Ghent University,Ghent University
person:rinke-hoekstra,Rinke Hoekstra,Rinke,Hoekstra,VU Amsterdam,VU Amsterdam
person:robert-engels,Robert Engels,Robert,Engels,self,self
person:robert-isele,Robert Isele,Robert,Isele,Free University of Berlin,Free University of Berlin
person:robert-stevens,Robert Stevens,Robert,Stevens,University of Manchester,University of Manchester
person:roberto-garcia,Roberto Garcia,Roberto,Garcia,Universitat de Lleida,Universitat de Lleida
person:roger-hall,Roger Hall,Roger,Hall,UALR,UALR
person:rolf-grutter,Rolf Grütter,Rolf,Grütter,"Swiss Federal Institute for Forest, Snow and Landscape Research","Swiss Federal Institute for Forest, Snow and Landscape Research"
person:roman-prokofyev,Roman Prokofyev,Roman,Prokofyev,University of Fribourg,University of Fribourg
person:romina-spalazzese,Romina Spalazzese,Romina,Spalazzese,University of L'Aquila,University of L'Aquila
person:rommel-n-carvalho,Rommel N. Carvalho,Rommel N.,Carvalho,George Mason University,George Mason University
person:ruben-verborgh,Ruben Verborgh,Ruben,Verborgh,Ghent University,Ghent University
person:rudi-studer,Rudi Studer,Rudi,Studer,"AIFB, Karlsruhe Institute of Technology","AIFB, Karlsruhe Institute of Technology"
person:russell-newman,Russell Newman,Russell,Newman,University of Southampton,University of Southampton
person:ryutaro-ichise,Ryutaro Ichise,Ryutaro,Ichise,National Institute of Informatics,National Institute of Informatics
person:sa-kwang-song,Sa-Kwang Song,Sa-Kwang,Song,Korea Institute of Science and Technology Information,Korea Institute of Science and Technology Information
person:sakthi-sundaram,Sakthi Sundaram,Sakthi,Sundaram,Cisco,Cisco
person:sam-coppens,Sam Coppens,Sam,Coppens,Ghent University,Ghent University
person:sambhawa-priya,Sambhawa Priya,Sambhawa,Priya,Lehigh University,Lehigh University
person:sandro-hawke,Sandro Hawke,Sandro,Hawke,W3C,W3C
person:sara-magliacane,Sara Magliacane,Sara,Magliacane,VU Amsterdam,VU Amsterdam
person:satya-sahoo,Satya Sahoo,Satya,Sahoo,Case Western Reserve University,Case Western Reserve University
person:sean-felten,Sean Felten,Sean,Felten,YarcData,YarcData
person:sebastian-hellmann,Sebastian Hellmann,Sebastian,Hellmann,AKSW,AKSW
person:sebastian-krause,Sebastian Krause,Sebastian,Krause,DFKI,DFKI
person:sebastian-rudolph,Sebastian Rudolph,Sebastian,Rudolph,"AIFB, Karlsruhe Institute of Technology","AIFB, Karlsruhe Institute of Technology"
person:sebastian-tramp,Sebastian Tramp,Sebastian,Tramp,University of Leipzig,University of Leipzig
person:sebastian-walter,Sebastian Walter,Sebastian,Walter,Bielefeld University,Bielefeld University
person:seema-sundara,Seema Sundara,Seema,Sundara,Oracle,Oracle
person:seppo-torma,Seppo Törmä,Seppo,Törmä,Aalto University,Aalto University
person:serena-villata,Serena Villata,Serena,Villata,INRIA,INRIA
person:sergio-tessaris,Sergio Tessaris,Sergio,Tessaris,Free University of Bozen-Bolzano,Free University of Bozen-Bolzano
person:shashank-tyagi,Shashank Tyagi,Shashank,Tyagi,IT-BHU,IT-BHU
person:shenghui-wang,Shenghui Wang,Shenghui,Wang,OCLC,OCLC
