s,personLabel,firstName,lastName,listAffiliation,affiliationLabel
person:axel-cyrille-ngonga-ngomo,Axel-Cyrille Ngonga Ngomo,Axel-Cyrille,Ngomo,University of Leipzig,University of Leipzig
person:axel-polleres,Axel Polleres,Axel,Polleres,"Siemens AG Österreich; DERI, NUI Galway","DERI, NUI Galway"
person:axel-polleres,Axel Polleres,Axel,Polleres,"Siemens AG Österreich; DERI, NUI Galway",Siemens AG Österreich
person:bastian-krayer,Bastian Krayer,Bastian,Krayer,University of Koblenz and Landau,University of Koblenz and Landau
person:bastien-rance,Bastien Rance,Bastien,Rance,National Library of Medicine,National Library of Medicine
person:benjamin-grosof,Benjamin Grosof,Benjamin,Grosof,Vulcan,Vulcan
person:benoit-christophe,Benoit Christophe,Benoit,Christophe,Alcatel-Lucent Bell Labs France,Alcatel-Lucent Bell Labs France
person:bernardo-cuenca-grau,Bernardo Cuenca Grau,Bernardo,Grau,University of Oxford,University of Oxford
person:bernardo-magnini,Bernardo Magnini,Bernardo,Magnini,Fondazione Bruno Kessler,Fondazione Bruno Kessler
person:bernhard-schandl,Bernhard Schandl,Bernhard,Schandl,Gnowsis.com,Gnowsis.com
person:bernie-innocenti,Bernie Innocenti,Bernie,Innocenti,Sugar Labs,Sugar Labs
person:bert-van-nuffelen,Bert van Nuffelen,Bert,van Nuffelen,Tenforce,Tenforce
person:bhavani-thuraisingham,Bhavani Thuraisingham,Bhavani,Thuraisingham,University of Texas at Dallas,University of Texas at Dallas
person:bijan-parsia,Bijan Parsia,Bijan,Parsia,University of Manchester,University of Manchester
person:birte-glimm,Birte Glimm,Birte,Glimm,University of Ulm,University of Ulm
person:blazej-bulka,Blazej Bulka,Blazej,Bulka,Clark & Parsia,Clark & Parsia
person:bo-fu,Bo Fu,Bo,Fu,University of Victoria,University of Victoria
person:bojan-bozic,Bojan Bozic,Bojan,Bozic,Austrian Institute of Technology,Austrian Institute of Technology
person:boris-motik,Boris Motik,Boris,Motik,University of Oxford,University of Oxford
person:brian-kettler,Brian Kettler,Brian,Kettler,Lockheed Martin,Lockheed Martin
person:bruno-alves,Bruno Alves,Bruno,Alves,University of Applied Sciences Western Switzerland,University of Applied Sciences Western Switzerland
person:bryan-thompson,Bryan Thompson,Bryan,Thompson,Systap,Systap
person:carlo-allocca,Carlo Allocca,Carlo,Allocca,"KMi, The Open University","KMi, The Open University"
person:carlo-curino,Carlo Curino,Carlo,Curino,Yahoo! Research,Yahoo! Research
person:carlos-buil-aranda,Carlos Buil-Aranda,Carlos,Buil-Aranda,Universidad Politecnica de Madrid,Universidad Politecnica de Madrid
person:carlos-pedrinaci,Carlos Pedrinaci,Carlos,Pedrinaci,"KMi, The Open University","KMi, The Open University"
person:carlos-viegas-damasio,Carlos Viegas Damásio,Carlos,Damásio,Universidade Nova de Lisboa,Universidade Nova de Lisboa
person:caroline-barriere,Caroline Barrière,Caroline,Barrière,Université de Montréal,Université de Montréal
person:carsten-keßler,Carsten Keßler,Carsten,Keßler,University of Münster,University of Münster
person:carsten-lutz,Carsten Lutz,Carsten,Lutz,University of Bremen,University of Bremen
person:cartic-ramakrishnan,Cartic Ramakrishnan,Cartic,Ramakrishnan,"Kno.e.sis Center, Wright State University","Kno.e.sis Center, Wright State University"
person:cecile-bothorel,Cecile Bothorel,Cecile,Bothorel,Telecom Bretagne,Telecom Bretagne
person:charalambos-kontoes,Charalambos Kontoes,Charalambos,Kontoes,National Observatory of Athens,National Observatory of Athens
person:charalampos-nikolaou,Charalampos Nikolaou,Charalampos,Nikolaou,National and Kapodistrian University of Athens,National and Kapodistrian University of Athens
person:charis-kontoes,Charis Kontoes,Charis,Kontoes,National Observatory of Athens,National Observatory of Athens
person:chen-cheng,Chen Cheng,Chen,Cheng,UALR,UALR
person:chenghua-lin,Chenghua Lin,Chenghua,Lin,"KMi, The Open University","KMi, The Open University"
person:chenyang-wu,Chenyang Wu,Chenyang,Wu,Shanghai Jiao Tong University,Shanghai Jiao Tong University
person:chiara-ghidini,Chiara Ghidini,Chiara,Ghidini,Fondazione Bruno Kessler,Fondazione Bruno Kessler
person:chito-jovellanos,Chito Jovellanos,Chito,Jovellanos,forward look,forward look
person:chris-baillie,Chris Baillie,Chris,Baillie,University of Aberdeen,University of Aberdeen
person:chris-chaulk,Chris Chaulk,Chris,Chaulk,EMC Corporation,EMC Corporation
person:chris-mellish,Chris Mellish,Chris,Mellish,University of Aberdeen,University of Aberdeen
person:chris-welty,Chris Welty,Chris,Welty,IBM Research,IBM Research
person:christian-bizer,Christian Bizer,Christian,Bizer,Free University of Berlin,Free University of Berlin
person:christian-dirschl,Christian Dirschl,Christian,Dirschl,Wolters Kluwer,Wolters Kluwer
person:christian-meilicke,Christian Meilicke,Christian,Meilicke,University of Mannheim,University of Mannheim
person:christian-schallhart,Christian Schallhart,Christian,Schallhart,University of Oxford,University of Oxford
person:christina-lantzaki,Christina Lantzaki,Christina,Lantzaki,FORTH-ICS,FORTH-ICS
person:christina-unger,Christina Unger,Christina,Unger,Bielefeld University,Bielefeld University
person:christophe-gueret,Christophe Guéret,Christophe,Guéret,VU Amsterdam,VU Amsterdam
person:christopher-brewster,Christopher Brewster,Christopher,Brewster,Aston University,Aston University
person:christopher-matheus,Christopher Matheus,Christopher,Matheus,Bell Labs Research,Bell Labs Research
person:christos-tryfonopoulos,Christos Tryfonopoulos,Christos,Tryfonopoulos,University of Peloponnese,University of Peloponnese
person:claudia-damato,Claudia d'Amato,Claudia,d'Amato,University of Bari,University of Bari
person:claudio-gutierrez,Claudio Gutierrez,Claudio,Gutierrez,Universidad de Chile,Universidad de Chile
person:claus-stadler,Claus Stadler,Claus,Stadler,University of Leipzig,University of Leipzig
person:conor-hayes,Conor Hayes,Conor,Hayes,"DERI, NUI Galway","DERI, NUI Galway"
person:cory-henson,Cory Henson,Cory,Henson,"Kno.e.sis Center, Wright State University","Kno.e.sis Center, Wright State University"
person:craig-knoblock,Craig Knoblock,Craig,Knoblock,"Information Sciences Institute, University of Southern California","Information Sciences Institute, University of Southern California"
person:cristina-sarasua,Cristina Sarasua,Cristina,Sarasua,"AIFB, Karlsruhe Institute of Technology","AIFB, Karlsruhe Institute of Technology"
person:cynthia-chang,Cynthia Chang,Cynthia,Chang,RPI,RPI
person:damian-gessler,Damian Gessler,Damian,Gessler,University of Arizona,University of Arizona
person:dan-brickley,Dan Brickley,Dan,Brickley,FOAF project,FOAF project
person:danh-le-phuoc,Danh Le Phuoc,Danh,Le Phuoc,"DERI, NUI Galway","DERI, NUI Galway"
person:daniel-bar,Daniel Bär,Daniel,Bär,TU Darmstadt,TU Darmstadt
person:daniel-gerber,Daniel Gerber,Daniel,Gerber,University of Leipzig,University of Leipzig
person:daniel-miranker,Daniel Miranker,Daniel,Miranker,University of Texas at Austin,University of Texas at Austin
person:daniel-schwabe,Daniel Schwabe,Daniel,Schwabe,PUC-Rio,PUC-Rio
person:daniela-ferrari,Daniela Ferrari,Daniela,Ferrari,"Segreteria SIAT, Autonomous Province of Trento, Italy","Segreteria SIAT, Autonomous Province of Trento, Italy"
person:daniele-dellaglio,Daniele Dell'Aglio,Daniele,Dell'Aglio,Politecnico di Milano,Politecnico di Milano
person:dario-cerizza,Dario Cerizza,Dario,Cerizza,Politecnico di Milano,Politecnico di Milano
person:dave-kolas,Dave Kolas,Dave,Kolas,Raytheon BBN Technologies,Raytheon BBN Technologies
person:dave-reynolds,Dave Reynolds,Dave,Reynolds,Epimorphics,Epimorphics
person:david-de-roure,David De Roure,David,Roure,University of Oxford,University of Oxford
person:david-huynh,David Huynh,David,Huynh,Google,Google
person:david-karger,David Karger,David,Karger,MIT,MIT
person:david-lewis,David Lewis,David,Lewis,Trinity College Dublin,Trinity College Dublin
person:david-liu,David Liu,David,Liu,University of Oxford,University of Oxford
person:david-mizell,David Mizell,David,Mizell,YarcData,YarcData
person:david-newman,David Newman,David,Newman,Wells Fargo Bank,Wells Fargo Bank
person:david-norheim,David Norheim,David,Norheim,Computas,Computas
person:david-shamma,David Shamma,David,Shamma,Yahoo! Research Silicon Valley,Yahoo! Research Silicon Valley
person:david-wood,David Wood,David,Wood,3roundstones,3roundstones
person:davy-van-deursen,Davy Van Deursen,Davy,Van Deursen,Ghent University,Ghent University
person:deborah-l-mcguinness,Deborah L. McGuinness,Deborah,McGuinness,RPI,RPI
person:denilson-barbosa,Denilson Barbosa,Denilson,Barbosa,University of Alberta,University of Alberta
person:denny-vrandecic,Denny Vrandecic,Denny,Vrandecic,"AIFB, Karlsruhe Institute of Technology","AIFB, Karlsruhe Institute of Technology"
person:dezhao-song,Dezhao Song,Dezhao,Song,Lehigh University,Lehigh University
person:diana-maynard,Diana Maynard,Diana,Maynard,University of Sheffield,University of Sheffield
person:diego-calvanese,Diego Calvanese,Diego,Calvanese,Free University of Bozen-Bolzano,Free University of Bozen-Bolzano
person:dimitrios-michail,Dimitrios Michail,Dimitrios,Michail,Harokopio University of Athens,Harokopio University of Athens
person:dimitris-plexousakis,Dimitris Plexousakis,Dimitris,Plexousakis,University of Crete; FORTH-ICS,FORTH-ICS
person:dimitris-plexousakis,Dimitris Plexousakis,Dimitris,Plexousakis,University of Crete; FORTH-ICS,University of Crete
