domain,p,range,cnt
swc:TalkEvent,swc:hasRole,swc:KeynoteSpeaker,1
swc:TalkEvent,swc:isSubEventOf,swc:ConferenceEvent,4
swc:TalkEvent,swrc:abstract,,1
swc:TalkEvent,rdf:type,,4
swc:TalkEvent,rdfs:label,,4
swc:TalkEvent,iCal:dtEnd,,4
swc:TalkEvent,iCal:dtStart,,4
swc:TrackEvent,swc:hasRelatedDocument,swc:Proceedings,3
swc:TrackEvent,swc:hasRole,swc:Chair,7
swc:TrackEvent,swc:hasRole,swc:ProgrammeCommitteeMember,8
swc:TrackEvent,swc:isSubEventOf,swc:ConferenceEvent,7
swc:TrackEvent,swc:isSuperEventOf,,78
swc:TrackEvent,swc:isSuperEventOf,swc:SessionEvent,27
swc:TrackEvent,swc:isSuperEventOf,swc:SpecialEvent,4
swc:TrackEvent,rdf:type,,7
swc:TrackEvent,rdfs:label,,7
swc:TutorialEvent,swc:hasAcronym,,9
swc:TutorialEvent,swc:hasLocation,swc:MeetingRoomPlace,9
swc:TutorialEvent,swc:hasRole,swc:Chair,9
swc:TutorialEvent,swc:isSubEventOf,swc:ConferenceEvent,9
swc:TutorialEvent,dc:subject,,28
swc:TutorialEvent,dcterms:subject,,28
swc:TutorialEvent,swrc:abstract,,9
swc:TutorialEvent,swrc:listKeyword,,6
swc:TutorialEvent,rdf:type,,9
swc:TutorialEvent,rdfs:label,,9
swc:TutorialEvent,iCal:dtEnd,,9
swc:TutorialEvent,iCal:dtStart,,9
swc:TutorialEvent,foaf:homepage,,9
swc:WorkshopEvent,swc:hasAcronym,,18
swc:WorkshopEvent,swc:hasLocation,swc:MeetingRoomPlace,18
swc:WorkshopEvent,swc:hasRole,swc:Chair,18
swc:WorkshopEvent,swc:isSubEventOf,swc:ConferenceEvent,18
swc:WorkshopEvent,dc:subject,,102
swc:WorkshopEvent,dcterms:subject,,102
swc:WorkshopEvent,swrc:abstract,,18
swc:WorkshopEvent,swrc:listKeyword,,18
swc:WorkshopEvent,rdf:type,,18
swc:WorkshopEvent,rdfs:label,,18
swc:WorkshopEvent,iCal:dtEnd,,18
swc:WorkshopEvent,iCal:dtStart,,18
swc:WorkshopEvent,foaf:homepage,,18
swrc:InProceedings,swc:isPartOf,swc:Proceedings,151
swrc:InProceedings,swc:relatedToEvent,,78
swrc:InProceedings,swc:relatedToEvent,swc:SpecialEvent,70
swrc:InProceedings,swc:relatedToEvent,swc:TalkEvent,3
swrc:InProceedings,dc:creator,foaf:Person,549
swrc:InProceedings,dc:identifier,,84
swrc:InProceedings,dc:subject,,632
swrc:InProceedings,dc:title,,151
swrc:InProceedings,dcterms:creator,foaf:Person,549
swrc:InProceedings,dcterms:subject,,632
swrc:InProceedings,dcterms:title,,151
swrc:InProceedings,bibo:authorList,rdf:Seq,151
swrc:InProceedings,swrc:abstract,,139
swrc:InProceedings,swrc:author,foaf:Person,549
swrc:InProceedings,swrc:idLncs,,84
swrc:InProceedings,swrc:listAuthor,,151
swrc:InProceedings,swrc:listKeyword,,141
swrc:InProceedings,swrc:pdf,,139
swrc:InProceedings,swrc:spotlight,,8
swrc:InProceedings,rdf:type,,151
swrc:InProceedings,rdfs:label,,151
swrc:InProceedings,foaf:maker,foaf:Person,549
rdf:Seq,rdf:_1,foaf:Person,155
rdf:Seq,rdf:_10,foaf:Person,9
rdf:Seq,rdf:_11,foaf:Person,6
rdf:Seq,rdf:_12,foaf:Person,3
rdf:Seq,rdf:_13,foaf:Person,1
rdf:Seq,rdf:_2,foaf:Person,126
rdf:Seq,rdf:_3,foaf:Person,103
rdf:Seq,rdf:_4,foaf:Person,64
rdf:Seq,rdf:_5,foaf:Person,37
rdf:Seq,rdf:_6,foaf:Person,27
